doc_id,category,item,price,amount,discount
oDCv3WQd,Бытовая химия,Кондиционер для белья,22,5,0.0
oDCv3WQd,Текстиль,Подушка-вкладыш,61,2,2.0
oDCv3WQd,Посуда,Кастрюля,100,4,2.0
oz7dPrIP,Текстиль,Полотенце кухонное,67,1,2.0
oz7dPrIP,Посуда,Набор стаканов,60,3,2.0
oz7dPrIP,Посуда,Миска для смешивания,50,4,0.0
oz7dPrIP,Текстиль,Салфетка под тарелку,54,1,2.0
oz7dPrIP,Бытовая химия,Средство для плит и духовок,10,2,0.0
oz7dPrIP,Бытовая химия,Таблетки для посудомоечной машины,20,3,0.0
qBB9AhN4,Посуда,Набор стаканов,60,2,2.0
qBB9AhN4,Текстиль,Чехол для подушки декоративной,70,4,2.0
fZeDqgKg,Бытовая химия,Гель для стирки,15,1,0.0
fZeDqgKg,Текстиль,Набор рукавиц-прихваток,56,3,2.0
fZeDqgKg,Бытовая химия,Освежитель воздуха,14,5,0.0
fZeDqgKg,Посуда,Чайник,115,5,5.0
